route_id,route_long_name,agency_id,route_type
1,1,TGSRTC,3
10,10,TGSRTC,3
100/299,100/299,TGSRTC,3
100B,100B,TGSRTC,3
100G,100G,TGSRTC,3
100G/L,100G/L,TGSRTC,3
100G/S,100G/S,TGSRTC,3
100H,100H,TGSRTC,3
100L,100L,TGSRTC,3
100M,100M,TGSRTC,3
100M/K,100M/K,TGSRTC,3
100SS,100SS,TGSRTC,3
100V,100V,TGSRTC,3
100V/208,100V/208,TGSRTC,3
100X,100X,TGSRTC,3
102,102,TGSRTC,3
102/253C,102/253C,TGSRTC,3
102/277,102/277,TGSRTC,3
102B,102B,TGSRTC,3
102J,102J,TGSRTC,3
102K,102K,TGSRTC,3
102M,102M,TGSRTC,3
103,103,TGSRTC,3
104A,104A,TGSRTC,3
104A/218,104A/218,TGSRTC,3
104R,104R,TGSRTC,3
104R/102,104R/102,TGSRTC,3
104R/127K,104R/127K,TGSRTC,3
104R/218,104R/218,TGSRTC,3
105/218,105/218,TGSRTC,3
107,107,TGSRTC,3
107JL,107JL,TGSRTC,3
107JS,107JS,TGSRTC,3
107M,107M,TGSRTC,3
107R,107R,TGSRTC,3
107R/300A,107R/300A,TGSRTC,3
107VG,107VG,TGSRTC,3
107VL,107VL,TGSRTC,3
107VR,107VR,TGSRTC,3
107V/S,107V/S,TGSRTC,3
107VS,107VS,TGSRTC,3
10A/S,10A/S,TGSRTC,3
10F/V,10F/V,TGSRTC,3
10H,10H,TGSRTC,3
10H/220,10H/220,TGSRTC,3
10HW,10HW,TGSRTC,3
10JB,10JB,TGSRTC,3
10J/P,10J/P,TGSRTC,3
10JP,10JP,TGSRTC,3
10K,10K,TGSRTC,3
10KH,10KH,TGSRTC,3
10K/J,10K/J,TGSRTC,3
10KJ,10KJ,TGSRTC,3
10KM,10KM,TGSRTC,3
10KM/224G,10KM/224G,TGSRTC,3
10K/S,10K/S,TGSRTC,3
10MN,10MN,TGSRTC,3
10S/K,10S/K,TGSRTC,3
10W,10W,TGSRTC,3
10Y/F,10Y/F,TGSRTC,3
10YF,10YF,TGSRTC,3
113F,113F,TGSRTC,3
113F/KP,113F/KP,TGSRTC,3
113I/A,113I/A,TGSRTC,3
113I/M,113I/M,TGSRTC,3
113K,113K,TGSRTC,3
113K/L,113K/L,TGSRTC,3
113KP,113KP,TGSRTC,3
113M,113M,TGSRTC,3
113M/217,113M/217,TGSRTC,3
113M/G,113M/G,TGSRTC,3
113M/W,113M/W,TGSRTC,3
113T/L,113T/L,TGSRTC,3
113T/M,113T/M,TGSRTC,3
113V,113V,TGSRTC,3
113Y/H,113Y/H,TGSRTC,3
113Y/K,113Y/K,TGSRTC,3
113Z/IM,113Z/IM,TGSRTC,3
113Z/M,113Z/M,TGSRTC,3
115,115,TGSRTC,3
115/280,115/280,TGSRTC,3
115C,115C,TGSRTC,3
115R,115R,TGSRTC,3
115RR,115RR,TGSRTC,3
116,116,TGSRTC,3
116/220K,116/220K,TGSRTC,3
116G,116G,TGSRTC,3
116G/220K,116G/220K,TGSRTC,3
116N,116N,TGSRTC,3
116N/220K,116N/220K,TGSRTC,3
116N/L,116N/L,TGSRTC,3
117,117,TGSRTC,3
117B,117B,TGSRTC,3
117M,117M,TGSRTC,3
118X,118X,TGSRTC,3
120,120,TGSRTC,3
120M,120M,TGSRTC,3
1/25S,1/25S,TGSRTC,3
126/300D,126/300D,TGSRTC,3
126/300L,126/300L,TGSRTC,3
126M,126M,TGSRTC,3
127K,127K,TGSRTC,3
127K/H,127K/H,TGSRTC,3
127K/L,127K/L,TGSRTC,3
127KL,127KL,TGSRTC,3
127K/V,127K/V,TGSRTC,3
127M,127M,TGSRTC,3
127N,127N,TGSRTC,3
127R/K,127R/K,TGSRTC,3
137,137,TGSRTC,3
142S,142S,TGSRTC,3
142Y,142Y,TGSRTC,3
1/458,1/458,TGSRTC,3
147,147,TGSRTC,3
14P,14P,TGSRTC,3
152,152,TGSRTC,3
156/202T,156/202T,TGSRTC,3
156/206,156/206,TGSRTC,3
156/299,156/299,TGSRTC,3
156/505,156/505,TGSRTC,3
156D,156D,TGSRTC,3
156H/217,156H/217,TGSRTC,3
