stop_id,stop_name,zone_id,stop_lat,stop_lon
RgqMpbyP,Charminar,Charminar,17.358677937923357,78.47402769352765
ZesADyKB,Shalibanda Twd  Charminar,Shahalibanda,17.354749930187328,78.47302439964548
CSCQevOc,Kilwath Twd Afzalgunj,Kilwat,17.3601274663828,78.4713749367239
RcYax5EA,Moosabowly Twd Cbs,Moosabowli,17.3642745722327,78.4666682034731
UoDW1Rgg,City College Twd Afzalgunj,City College,17.36745264535672,78.46829028554708
s4V6Ks4J,Madina Twd Afzalgunj,Madina,17.3703739526348,78.4755915518183
RvkZZP0d,Afzalgunj Twd Nampally,Afzalgunj,17.3734,78.4759
RprCTGDf,Osmangunj Twd Nampally,Osmangunj,17.3801592673954,78.4749823530744
TB1fWaY6,Gandhi Bhavan Twd Nampally,Gandhibavan,17.388345659286514,78.47138822677678
0Yr3hLAU,Nampally Railway Station Twd Ameerpet,Nampally Railway Station,17.39215949442458,78.47004978666432
48NXpBnL,Nampally Public Garoaden Twd Ameerpet,Nampally Public Garden,17.396278,78.470819
d2BfiTmX,Assembly Twd Miyapur,Assembly,17.400243,78.470014
USn7tbeB,Lakdikapool Twd Lingampally,Lakdikapool,17.403609,78.464974
FDukZMjs,Chinthal Basthi Twd Patancheru,Chintal Basthi,17.408898,78.460376
3UhhD7eG,Khairatabad Twd Patancheru,Khairatabad,17.414165437048904,78.45863971461557
5g4se2Gv,Khairatabad Rto Twd Koti,Khairatabad,17.415785,78.457715
3OS7bBog,Irrum Manzil Twd Patancheru,Irram Manzil,17.420752974516326,78.45569724523418
fAXfvzII,Nims Hospital Twd Patancheruvu,Nims Hospital,17.4230084956761,78.4543890506029
YY5SqKbk,Punjagutta Twd Patancheru,Punjagutta,17.426322878920914,78.45262885786775
DqrzaqZu,Pvr Mall Twd Patancheru,Pvr Mall Bus Stop,17.429381,78.450406
8A7oqeuK,Ameerpet Twd Patancheru,Ameerpet,17.431553,78.44765
Z9DjfexL,Maitrivanam Twd Patancheru,Maithrivanam,17.440045544433556,78.4423641399989
