From,To,From_Lat,From_Lng,To_Lat,To_Lng,Distance_KM,Time_Min,Transfers,Buses,Route_Steps
"Secunderabad Railway Station","Afzalgunj",17.43426,78.50158,17.37331,78.47693,8.3,28,0,"251M/A","251M/A: Secunderabad Railway Station → Afzalgunj (7 stops)"
"Secunderabad Railway Station","Alugadda Bhavi",17.43426,78.50158,17.43531,78.51438,1.4,5,0,"186","186: Secunderabad Railway Station → Alugadda Bhavi (2 stops)"
"Secunderabad Railway Station","Patny",17.43426,78.50158,17.44318,78.49625,1.1,4,0,"30","30: Secunderabad Railway Station → Patny (2 stops)"
"Secunderabad Railway Station","Cbs",17.43426,78.50158,17.37823,78.48168,7.3,25,1,"219 → 1J","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1J: Rtc X Roads → Cbs (8 stops)"
"Secunderabad Railway Station","Erragadda",17.43426,78.50158,17.45617,78.43378,9.1,31,1,"47YM → 10KH","47YM: Secunderabad Railway Station → Kanaka Durga Temple (6 stops) | 10KH: Kanaka Durga Temple → Erragadda (5 stops)"
"Secunderabad Railway Station","Gajularamaram X Road",17.43426,78.50158,17.50941,78.44817,12.3,42,1,"567G → 171SM","567G: Secunderabad Railway Station → Chintal (7 stops) | 171SM: Chintal → Gajularamaram X Road (3 stops)"
"Secunderabad Railway Station","Jbs",17.43426,78.50158,17.44757,78.49664,1.6,6,0,"290U","290U: Secunderabad Railway Station → Jbs (3 stops)"
"Secunderabad Railway Station","Hayathnagar Bus Station",17.43426,78.50158,17.32732,78.60489,20.4,69,1,"186 → 72/208C","186: Secunderabad Railway Station → Lb Nagar X Road (9 stops) | 72/208C: Lb Nagar X Road → Hayathnagar Bus Station (10 stops)"
"Secunderabad Railway Station","Rathifile Bus Station",17.43426,78.50158,17.43457,78.50488,0.4,2,0,"",""
"Secunderabad Railway Station","Nampally Public Garoaden",17.43426,78.50158,17.39628,78.47082,7.3,25,0,"8N","8N: Secunderabad Railway Station → Nampally Railway Station (6 stops)"
"Secunderabad Railway Station","Lakdikapool",17.43426,78.50158,17.40361,78.46497,5.6,19,0,"8N","8N: Secunderabad Railway Station → Rbi Birlamandir (5 stops)"
"Secunderabad Railway Station","Ecil Bus Terminal",17.43426,78.50158,17.47253,78.57006,11.6,39,0,"16AB/5K","16AB/5K: Secunderabad Railway Station → Ecil Bus Terminal (8 stops)"
"Secunderabad Railway Station","Secretariat",17.43426,78.50158,17.40812,78.47182,5.4,18,0,"AA","AA: Secunderabad Railway Station → Secretariat (4 stops)"
"Secunderabad Railway Station","Patancheruvu",17.43426,78.50158,17.52903,78.26428,29,97,3,"186 → 9EM → 224L → 300A/217","186: Secunderabad Railway Station → Kukatpally (8 stops) | 9EM: Kukatpally → Miyapur X Road (4 stops) | 224L: Miyapur X Road → Lingampally Bs (5 stops) | 300A/217: Lingampally Bs → Patancheruvu (5 stops)"
"Secunderabad Railway Station","Darul Shifa",17.43426,78.50158,17.37327,78.48299,8.9,30,0,"251M/A","251M/A: Secunderabad Railway Station → Afzalgunj (7 stops)"
"Secunderabad Railway Station","Plaza",17.43426,78.50158,17.44330,78.49066,1.5,6,0,"10JB","10JB: Secunderabad Railway Station → Plaza (2 stops)"
"Secunderabad Railway Station","Bluesea Cafe",17.43426,78.50158,17.43713,78.50515,0.5,2,0,"",""
"Secunderabad Railway Station","Tarnaka",17.43426,78.50158,17.42571,78.53223,3.5,12,0,"186","186: Secunderabad Railway Station → Tarnaka (3 stops)"
"Secunderabad Railway Station","Lb Nagar X Road",17.43426,78.50158,17.34699,78.55013,13.6,46,0,"186","186: Secunderabad Railway Station → Lb Nagar X Road (9 stops)"
"Secunderabad Railway Station","Lingampally Bs",17.43426,78.50158,17.49485,78.31689,22.1,74,2,"186 → 9EM → 224L","186: Secunderabad Railway Station → Kukatpally (8 stops) | 9EM: Kukatpally → Miyapur X Road (4 stops) | 224L: Miyapur X Road → Lingampally Bs (5 stops)"
"Secunderabad Railway Station","Kukatpally",17.43426,78.50158,17.48385,78.41242,11.5,39,0,"186","186: Secunderabad Railway Station → Kukatpally (8 stops)"
"Secunderabad Railway Station","Jublee Bus Station",17.43426,78.50158,17.44761,78.49758,1.5,6,0,"AC","AC: Secunderabad Railway Station → Jublee Bus Station (2 stops)"
"Secunderabad Railway Station","Ibrahimpatnam Bus Station",17.43426,78.50158,17.19144,78.64766,35.7,120,2,"186 → 300L/279K → 401","186: Secunderabad Railway Station → Lb Nagar X Road (9 stops) | 300L/279K: Lb Nagar → Bongloor X Road (16 stops) | 401: Bongloor X Road → Ibrahimpatnam Bus Station (3 stops)"
"Secunderabad Railway Station","Prashanth Nagar",17.43426,78.50158,17.47378,78.42698,5.2,18,1,"10Y/F → 16HP","10Y/F: Secunderabad Railway Station → Malkajgiri (4 stops) | 16HP: Malkajgiri → Prashanth Nagar (2 stops)"
"Secunderabad Railway Station","Moosapet",17.43426,78.50158,17.47081,78.42668,9.7,33,0,"186","186: Secunderabad Railway Station → Prashanth Nagar (7 stops)"
"Secunderabad Railway Station","Cherlapally Bus Stand",17.43426,78.50158,17.46329,78.61145,13.5,46,1,"186 → 250C/R","186: Secunderabad Railway Station → Tarnaka (3 stops) | 250C/R: Tarnaka → Cherlapally Bus Stand (7 stops)"
"Secunderabad Railway Station","Koti Medical College",17.43426,78.50158,17.38310,78.48282,6.7,23,1,"219 → 1J","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1J: Rtc X Roads → Koti Medical College (7 stops)"
"Secunderabad Railway Station","Chadarghat",17.43426,78.50158,17.37722,78.49302,7.3,25,1,"219 → 1M/D","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1M/D: Rtc X Roads → Chadarghat (5 stops)"
"Secunderabad Railway Station","Kachiguda X Road",17.43426,78.50158,17.39069,78.48938,5.6,19,1,"219 → 1J","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1J: Rtc X Roads → Kachiguda X Road (5 stops)"
